"Trt","ML","PCA1","PCA2","PCA3","PCA4","PCA1_2","PCA2_2","PCA3_2","PCA4_2","SeedNumberResid"
"Alone","PA4.11Ip",-1.83529986273638,0.143574874520718,1.55912916735996,0.733541401874611,3.36832558616018,0.0206137445936398,2.43088376051258,0.538082988264169,-0.154212720073946
"Alone","PA4.13Ip",3.10618971642433,2.02673605152381,-1.76801266823978,0.434263794090739,9.64841455442028,4.10765902254631,3.12586879505634,0.188585042858084,0.224065518915245
"Alone","PA4.14Ip",1.49883185465419,-0.802417073023801,0.411850629961389,1.6609301407882,2.24649692852612,0.643873159080085,0.169620941399593,2.75868893257872,0.516298108362263
"Alone","PA4.15Ip",-0.754054704392461,-1.36457302073566,-0.771053214619183,0.428930381973242,0.568598497216402,1.86205952891964,0.594523059774576,0.183981272579711,0.0945369327412559
"Alone","PA4.16Ip",-2.60248822272085,0.272363586504929,1.90909913298576,1.25924872114329,6.77294494940073,0.0741819232538282,3.64465949956697,1.58570734170101,0.016417219440389
"Alone","PA4.17Ip",-2.13601738137297,2.65542260504879,-0.0157732789498693,-0.739843489985762,4.56257025352742,7.05126921140411,0.00024879632883039,0.547368389674312,-0.273458929066537
"Alone","PA4.18Ip",2.20615751524156,0.77378036704778,-0.41993043690926,0.378664808729923,4.86713098205682,0.598736056428597,0.176341571842802,0.143387037370469,-0.263541847319185
"Alone","PA4.19Ip",0.886497729512615,0.47115673682736,0.200628446697912,0.422837594453155,0.785878224431021,0.221988670657806,0.0402517736244169,0.178791631282931,-0.113822849048447
"Alone","PA4.1Ip",0.130818840007573,4.52759342057617,1.03698170581393,3.49529381224197,0.0171135689009269,20.4991021820446,1.07533105819278,12.217078833897,0.229960048871172
"Alone","PA4.2Ip",-2.79806375887105,-1.65072628313458,1.86602778458883,1.82185032290393,7.82916079870758,2.72489726183132,3.4820596928575,3.31913859906517,-0.0812909015458001
"Inter","PA4.11Ip",-0.311888491963808,0.316547491689409,-0.176144149584574,-0.227479783846286,0.0972744314194582,0.100202314494856,0.0310267614328728,0.0517470520587531,-0.0400904278930126
"Inter","PA4.13Ip",0.23905783007167,-0.135048304771133,0.0741775923638904,-0.0144443367985864,0.0571486461185753,0.0182380446215569,0.00550231520890349,0.000208638865550997,0.114007584978592
"Inter","PA4.14Ip",0.203326615452396,0.297053686076369,-0.399267377265528,-1.1367257477837,0.0413417125513266,0.088240892411558,0.159414438548494,1.29214542567441,0.257330602038977
"Inter","PA4.15Ip",-0.00279027490042161,0.177652064542165,0.444828405992502,-0.105607687266756,7.78563401992281e-06,0.0315602560360937,0.19787231077783,0.0111529836098329,-0.0295446933873483
"Inter","PA4.16Ip",-0.502907431630045,0.768494934892384,0.180343649288897,-0.0363162062020764,0.252915884788728,0.590584464955249,0.0325238318388366,0.00131886683291173,-0.0169193301741051
"Inter","PA4.17Ip",0.569572906938223,0.930113946471855,0.513674998384706,-0.339804997157217,0.324413296318058,0.865111953421449,0.263862003965528,0.115467436093016,-0.0468383199256768
"Inter","PA4.18Ip",-0.246163197893867,-0.268899361277734,0.742218907180311,0.00197096493352675,0.060596319997335,0.0723068664955731,0.550888906175934,3.88470276919209e-06,0.00830592149360903
"Inter","PA4.19Ip",0.442612050362374,-1.0852071109978,0.114718782460924,0.454717951888028,0.195905427125984,1.17767447376019,0.0131603990493167,0.206768415769243,-0.220221407839704
"Inter","PA4.1Ip",0.64540286400142,0.516066249316853,0.439277026252853,0.626490737141802,0.416544856861236,0.266324373683964,0.192964305793549,0.392490643724478,0.0427153084679867
"Inter","PA4.2Ip",-0.14362323439708,0.00719214597498532,1.34536395117101,0.445403682212003,0.0206276334586785,5.17269637254975e-05,1.81000416111046,0.198384440128011,-0.0904072477289001
